,gross_profit_assets,book_to_market,market_cap_cr,asset_growth_yoy,dividend_yield_pct,beta_nifty50
SUNPHARMA.NS,0.43261,0.17915,403112.0,0.0772,0.0,0.7583
DRREDDY.NS,0.38627,0.30084,110818.0,0.27217,0.0,0.6432
CIPLA.NS,0.46494,0.29571,105488.0,0.14271,0.0,0.649
DIVISLAB.NS,0.32217,0.0884,169329.0,0.09451,0.0,0.9256
LUPIN.NS,0.50458,0.16071,107044.0,0.21701,0.0,0.5939
TORNTPHARM.NS,0.56257,0.05408,140360.0,-0.0047,0.0,0.7609
AUROPHARMA.NS,0.35426,0.39168,83368.0,0.10458,0.0,0.8726
ALKEM.NS,0.44921,0.18157,66006.0,0.13587,0.0,0.9013
ABBOTINDIA.NS,0.4894,0.0784,53994.0,0.13937,0.0,0.2101
APOLLOHOSP.NS,0.49703,0.0734,111879.0,0.23305,0.0,0.8687
MAXHEALTH.NS,0.35712,0.09575,97976.0,0.26788,0.0,1.1955
FORTIS.NS,0.30567,0.12744,69966.0,0.03031,0.0,1.0618
LALPATHLAB.NS,0.60295,0.09094,23892.0,0.1062,0.0,0.9418
TATASTEEL.NS,0.33552,0.34659,263044.0,0.02184,0.0,0.885
JSWSTEEL.NS,0.24458,0.25889,307068.0,0.05497,0.0,0.938
HINDALCO.NS,0.29837,0.53125,232862.0,0.14697,0.0,0.7834
VEDL.NS,0.30356,0.13322,287485.0,0.06544,0.0,1.0171
SAIL.NS,0.28571,0.80822,72883.0,-0.03083,0.0,1.3134
NMDC.NS,0.31485,0.38686,76761.0,0.14991,0.0,0.7338
NATIONALUM.NS,0.41423,0.22046,80764.0,0.18961,0.0,0.5028
APLAPOLLO.NS,0.21608,0.07493,56168.0,0.05697,0.0,0.642
RATNAMANI.NS,0.33328,0.21095,17241.0,0.22044,0.0,1.0123
ULTRACEMCO.NS,0.4296,0.19755,357916.0,0.32633,0.0,1.167
GRASIM.NS,0.122,0.52571,185480.0,0.2133,0.0,1.0926
SHREECEM.NS,0.39907,0.23437,91898.0,0.01926,0.0,0.6755
AMBUJACEM.NS,0.30637,0.47753,111916.0,0.24333,0.0,1.4906
ACC.NS,0.30997,0.69431,26724.0,0.08751,0.0,1.401
