Date,Ticker,gross_profit,total_assets,gross_profit_assets,equity,asset_growth_yoy,dividend_payout_pct,eps
2006-06-01,COLPAL.NS,180.0,638.0,0.28213166144200624,281.0,0.443460356886071,73.0,5.15
2006-06-01,RADICO.NS,79.0,570.0,0.13859649122807016,143.0,0.22844827586206898,11.0,0.93
2007-02-01,PFIZER.NS,127.0,646.0,0.19659442724458204,406.0,0.29761253872790233,63.0,35.64
2007-06-01,COLPAL.NS,199.0,706.0,0.2818696883852691,278.0,0.3016505535807277,87.0,5.46
2007-06-01,RADICO.NS,81.0,1007.0,0.0804369414101291,185.0,0.13473684210526315,11.0,0.94
2008-02-01,PFIZER.NS,-139.0,867.0,-0.16032295271049596,650.0,0.05112359550561798,24.0,113.94
2008-06-01,COLPAL.NS,251.0,729.0,0.3443072702331962,168.0,0.1142459558184032,75.0,8.67
2008-06-01,TATAELXSI.NS,75.0,259.0,0.28957528957528955,119.0,0.08277526705012325,41.0,8.48
2009-02-01,PFIZER.NS,-82.0,1098.0,-0.07468123861566485,901.0,0.130277926242651,12.0,100.39
2009-06-01,COLPAL.NS,287.0,799.0,0.3591989987484355,216.0,0.16525648630928222,71.0,10.51
2009-06-01,CUMMINSIND.NS,508.0,2312.0,0.21972318339100347,1486.0,0.06808614428444959,38.0,16.7
2009-06-01,PATANJALI.NS,56.0,6481.0,0.008640641876253664,1161.0,0.06711979609175871,10.0,1.69
2009-06-01,TATAELXSI.NS,82.0,242.0,0.33884297520661155,152.0,0.08392225310427912,37.0,9.34
2010-06-01,COLPAL.NS,434.0,885.0,0.4903954802259887,331.0,0.10495150313488023,63.0,15.96
2010-06-01,PATANJALI.NS,361.0,8007.0,0.04508555014362433,1942.0,0.04060509554140127,9.0,2.22
2010-06-01,TATAELXSI.NS,68.0,296.0,0.22972972972972974,175.0,0.13690861673638702,45.0,7.84
2011-03-01,GVT&D.NS,473.0,4468.0,0.105863921217547,1003.0,0.06070897898535343,23.0,7.81
2011-06-01,MINDTREE.NS,178.0,1014.0,0.1755424063116371,776.0,0.10089171090524271,10.0,6.33
2011-06-01,PATANJALI.NS,564.0,11146.0,0.05060111250672887,2206.0,0.24636572302983933,7.0,2.26
2011-06-01,TATAELXSI.NS,48.0,302.0,0.15894039735099338,182.0,0.09512739588946194,67.0,5.22
2012-03-01,ABB.NS,356.0,6319.0,0.056338028169014086,2534.0,,34.0,8.72
2012-06-01,HDFC.NS,17792.0,212336.0,0.08379172632054857,24216.0,0.10258545703551533,30.0,36.98
2012-06-01,MINDTREE.NS,293.0,1335.0,0.2194756554307116,957.0,,7.0,13.49
2012-06-01,PATANJALI.NS,725.0,14619.0,0.049592995416923184,2222.0,0.16513198281154082,12.0,0.87
2012-06-01,TATAELXSI.NS,75.0,335.0,0.22388059701492538,192.0,0.4801149942362302,63.0,5.55
2013-03-01,ABB.NS,355.0,6504.0,0.05458179581795818,2601.0,0.0292767843013135,45.0,6.65
2013-06-01,BDL.NS,-12.0,7251.0,-0.0016549441456350847,1051.0,0.2703616583357836,21.0,1212.13
2013-06-01,HDFC.NS,21778.0,251778.0,0.08649683451294395,31890.0,0.05322613132805156,29.0,42.94
2013-06-01,MINDTREE.NS,452.0,1691.0,0.267297457125961,1314.0,0.07178446207787414,15.0,20.34
2013-06-01,PATANJALI.NS,755.0,16822.0,0.04488170253239805,2420.0,0.2565858798735511,4.0,2.73
2013-06-01,TATAELXSI.NS,73.0,365.0,0.2,195.0,0.1790020562940168,73.0,3.42
2013-12-01,MRF.NS,1780.0,8278.0,0.215027784489007,3655.0,0.18450074515648285,2.0,1906.58
2014-03-01,ACC.NS,1646.0,12101.0,0.13602181637881167,7813.0,0.1311804635096598,52.0,58.31
2014-03-01,AMBUJACEM.NS,1669.0,12956.0,0.12882062364927446,9462.0,0.2273254465321271,44.0,8.27
2014-03-01,BATAINDIA.NS,338.0,1382.0,0.24457308248914617,840.0,0.1424917793204238,22.0,14.86
2014-03-01,EICHERMOT.NS,715.0,5337.0,0.1339703953531947,2055.0,,21.0,14.57
2014-06-01,AARTIIND.NS,402.0,2670.0,0.15056179775280898,870.0,,25.0,4.58
2014-06-01,ADANIENT.NS,9383.0,118102.0,0.0794482735262739,23757.0,0.022102332057083188,7.0,18.03
2014-06-01,ADANIPORTS.NS,2919.0,24677.0,0.11828828463751671,8765.0,0.23200652609816547,12.0,8.4
2014-06-01,ADANIPOWER.NS,4593.0,58739.0,0.07819336386387238,6543.0,0.3000769947724602,-0.0,-0.2
2014-06-01,AJANTPHARM.NS,369.0,949.0,0.38883034773445735,594.0,-0.0045114830010725415,15.0,17.75
2014-06-01,ALKEM.NS,413.0,4311.0,0.09580143818139643,2579.0,0.20758693361433087,5.0,364.1
2014-06-01,APLAPOLLO.NS,165.0,1150.0,0.14347826086956522,425.0,,20.0,2.52
2014-06-01,APLLTD.NS,358.0,1217.0,0.2941659819227609,676.0,0.15043478260869564,24.0,12.49
2014-06-01,APOLLOHOSP.NS,676.0,5350.0,0.12635514018691588,2977.0,0.3483976992604766,25.0,22.77
2014-06-01,APOLLOTYRE.NS,1888.0,9034.0,0.2089882665485942,4574.0,0.2072897196261682,4.0,19.94
2014-06-01,ASHOKLEY.NS,422.0,17524.0,0.024081259986304497,3989.0,-0.04804073500110693,0.0,-0.31
2014-06-01,ASIANPAINT.NS,2004.0,8075.0,0.2481733746130031,4039.0,0.11209964412811388,42.0,12.71
2014-06-01,ASTRAL.NS,155.0,694.0,0.22334293948126802,315.0,-0.025456218371415425,5.0,1.26
2014-06-01,AUBANK.NS,148.0,3377.0,0.04382588095943145,649.0,0.12375096079938509,0.0,11.65
2014-06-01,AUROPHARMA.NS,2137.0,9490.0,0.22518440463645942,3750.0,0.16775884665792923,7.0,20.12
2014-06-01,BAJAJ-AUTO.NS,4163.0,15308.0,0.271949307551607,10167.0,0.09493357694796543,43.0,116.82
2014-06-01,BAJAJFINSV.NS,4491.0,74383.0,0.06037669897691677,9312.0,0.07881798351496758,2.0,9.71
2014-06-01,BAJAJHLDNG.NS,400.0,12448.0,0.032133676092544985,11999.0,-0.08059929250190748,17.0,178.59
2014-06-01,BALKRISIND.NS,890.0,5021.0,0.17725552678749254,1895.0,0.2564190303933909,4.0,24.55
2014-06-01,BANKBARODA.NS,809.0,676104.0,0.001196561475749293,37847.0,0.22510716703015718,19.0,23.29
2014-06-01,BANKINDIA.NS,-518.0,578022.0,-0.0008961596617429787,30774.0,0.24055069702082812,11.0,46.5
2014-06-01,BBTC.NS,629.0,3682.0,0.1708310700706138,1294.0,0.10261338235601329,3.0,29.68
2014-06-01,BEL.NS,925.0,14980.0,0.06174899866488651,7220.0,0.1250870964330498,20.0,1.2
2014-06-01,BERGEPAINT.NS,431.0,2595.0,0.16608863198458573,1120.0,0.1429707447959493,31.0,2.14
2014-06-01,BHARATFORG.NS,921.0,7534.0,0.12224581895407487,2684.0,,21.0,10.71
2014-06-01,BHARTIARTL.NS,26512.0,181492.0,0.14607806404690013,59756.0,,26.0,5.04
2014-06-01,BHEL.NS,4579.0,75331.0,0.060785068564070566,33171.0,,20.0,9.54
2014-06-01,BIOCON.NS,687.0,5751.0,0.11945748565466875,3027.0,,24.0,3.45
2014-06-01,BLUESTARCO.NS,150.0,2336.0,0.0642123287671233,461.0,,46.0,4.31
2014-06-01,BPCL.NS,9414.0,88460.0,0.10642098123445626,19440.0,-0.005709054182028401,31.0,9.01
2014-06-01,BRITANNIA.NS,627.0,2107.0,0.2975794969150451,798.0,0.03676470588235294,36.0,16.48
2014-06-01,BSE.NS,245.0,4066.0,0.0602557796360059,2376.0,0.07751923002589772,31.0,1.45
2014-06-01,CANBK.NS,-672.0,501090.0,-0.0013410764533317368,30176.0,0.21369561226363135,19.0,10.37
2014-06-01,CESC.NS,1698.0,24948.0,0.06806156806156806,5635.0,,20.0,3.94
2014-06-01,CGPOWER.NS,612.0,10828.0,0.05652013298854821,3644.0,,31.0,3.9
2014-06-01,CHOLAFIN.NS,578.0,21544.0,0.02682881544745637,2287.0,,14.0,5.14
2014-06-01,CIPLA.NS,2147.0,13400.0,0.16022388059701492,10051.0,,12.0,17.29
2014-06-01,COFORGE.NS,355.0,1801.0,0.1971127151582454,1324.0,0.06397008168487353,24.0,7.6
2014-06-01,CONCOR.NS,1153.0,8269.0,0.1394364493892853,6858.0,0.3776643468561313,25.0,12.4
2014-06-01,COROMANDEL.NS,808.0,7605.0,0.10624589086127548,2281.0,0.09096324980452024,36.0,12.59
2014-06-01,DABUR.NS,1162.0,5312.0,0.21875,2656.0,0.0977234869516935,33.0,5.24
2014-06-01,DHANI.NS,165.0,818.0,0.2017114914425428,236.0,0.07372055239642566,18.0,3.7
2014-06-01,DIVISLAB.NS,1018.0,3710.0,0.27439353099730457,2964.0,-0.12327492634516979,34.0,29.13
2014-06-01,DIXON.NS,26.0,291.0,0.08934707903780069,74.0,0.06353329829566784,2.0,8.72
2014-06-01,DLF.NS,2493.0,64525.0,0.03863618752421542,27395.0,0.11347019122609674,55.0,3.63
2014-06-01,DMART.NS,341.0,1808.0,0.1886061946902655,956.0,0.11136437642461738,0.0,2.95
2014-06-01,DRREDDY.NS,3251.0,15906.0,0.20438828115176663,7865.0,0.10410659242318783,16.0,23.08
2014-06-01,EDELWEISS.NS,1597.0,18190.0,0.08779549202858714,2890.0,,24.0,2.86
2014-06-01,EMAMILTD.NS,445.0,1302.0,0.34178187403993854,932.0,0.0945019404915912,39.0,8.87
2014-06-01,ENDURANCE.NS,534.0,2515.0,0.21232604373757455,979.0,1.3974248927038626,3.0,46.52
2014-06-01,ENGINERSIN.NS,491.0,3817.0,0.12863505370709982,2521.0,0.1591867138431326,45.0,7.16
2014-06-01,EXIDEIND.NS,869.0,12494.0,0.06955338562510005,3460.0,-0.14591972748815166,28.0,6.41
2014-06-01,FCONSUMER.NS,-77.0,1059.0,-0.07271010387157696,806.0,0.10859262311971976,0.0,
2014-06-01,FEDERALBNK.NS,614.0,74643.0,0.008225821577374972,6861.0,0.21031746031746032,20.0,4.97
2014-06-01,FORTIS.NS,62.0,7851.0,0.007897083174117947,4283.0,0.019140421089263965,-0.0,-4.73
2014-06-01,GAIL.NS,7988.0,66865.0,0.11946459283631197,32456.0,0.11240228185083456,28.0,7.07
2014-06-01,GICRE.NS,-2472.0,63995.0,-0.03862801781389171,34186.0,0.05604838709677419,24.0,282.91
2014-06-01,GLENMARK.NS,1091.0,8427.0,0.12946481547407143,2983.0,-0.5105963528831937,0.0,19.99
2014-06-01,GMRAIRPORT.NS,2556.0,65097.0,0.03926448223420434,6484.0,-0.32653061224489793,389.0,0.02
2014-06-01,GODFRYPHLP.NS,367.0,1941.0,0.18907779495105614,1184.0,0.10379231778774144,24.0,11.25
2014-06-01,GODREJAGRO.NS,240.0,1573.0,0.15257469802924348,518.0,0.05981962083563409,23.0,118.36
2014-06-01,GODREJCP.NS,1169.0,8320.0,0.1405048076923077,3775.0,0.11528368620931331,24.0,7.44
2014-06-01,GODREJIND.NS,455.0,11208.0,0.040596002855103494,2734.0,0.08645674051420646,18.0,9.72
2014-06-01,GODREJPROP.NS,283.0,6147.0,0.04603871807385716,1793.0,0.05296390538120818,25.0,8.0
2014-06-01,GRAPHITE.NS,250.0,2796.0,0.08941344778254649,1759.0,0.11373450341273157,53.0,6.65
2014-06-01,GRASIM.NS,4915.0,47736.0,0.10296212502094855,21615.0,0.0014436263894904,9.0,43.66
2014-06-01,GSPL.NS,929.0,5625.0,0.16515555555555556,3386.0,0.10193266832917705,14.0,7.39
2014-06-01,HDFC.NS,25439.0,296889.0,0.0856852224231952,37575.0,2.313289878400561,27.0,50.93
2014-06-01,HEG.NS,247.0,2506.0,0.0985634477254589,1000.0,-0.12134164348218032,30.0,4.04
2014-06-01,HEROMOTOCO.NS,3553.0,10122.0,0.35101758545741946,5623.0,0.1780259858673353,62.0,105.3
2014-06-01,HINDALCO.NS,8024.0,137982.0,0.05815251264657709,40604.0,0.04866483108255758,9.0,10.53
2014-06-01,HINDPETRO.NS,5363.0,96996.0,0.05529093983257041,13999.0,0.16521351132978787,49.0,4.73
2014-06-01,HINDUNILVR.NS,4759.0,13754.0,0.34600843391013525,3537.0,0.13833049727042124,71.0,18.24
2014-06-01,HUDCO.NS,1084.0,30224.0,0.03586553732133404,7132.0,,14.0,366.64
