Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2020,4184.0,3459.0,725.0,17%,59.0,16.0,173.0,595.0,21%,468.0,14.21,44%,62.0,2334.0,35.0,968.0,3400.0,1079.0,0.0,14.0,2307.0,3400.0,COFORGE.NS,,,,,,
Mar 2021,4663.0,3882.0,781.0,17%,13.0,14.0,184.0,596.0,22%,466.0,15.04,17%,61.0,2406.0,83.0,935.0,3484.0,1021.0,0.0,12.0,2451.0,3484.0,COFORGE.NS,,,,,,
Mar 2022,6432.0,5330.0,1102.0,17%,52.0,65.0,227.0,862.0,17%,715.0,21.73,48%,61.0,2672.0,490.0,1655.0,4878.0,2067.0,17.0,0.0,2794.0,4878.0,COFORGE.NS,,,,,,
Mar 2023,8015.0,6733.0,1282.0,16%,8.0,81.0,258.0,951.0,22%,745.0,22.72,56%,61.0,3021.0,562.0,1980.0,5625.0,2312.0,5.0,0.0,3309.0,5625.0,COFORGE.NS,,,,,,
Mar 2024,9009.0,7562.0,1447.0,16%,32.0,126.0,297.0,1056.0,21%,836.0,26.14,58%,62.0,3565.0,726.0,1708.0,6061.0,2353.0,23.0,0.0,3685.0,6061.0,COFORGE.NS,,,,,,
Mar 2025,12051.0,10357.0,1694.0,14%,137.0,135.0,428.0,1269.0,26%,936.0,24.29,63%,67.0,6312.0,1070.0,4823.0,12272.0,6096.0,2.0,146.0,6028.0,12272.0,COFORGE.NS,,,,,,
Mar 2006,1129.0,949.0,180.0,16%,55.0,1.0,43.0,191.0,27%,140.0,5.15,73%,136.0,145.0,4.0,353.0,638.0,164.0,9.0,145.0,319.0,638.0,COLPAL.NS,,,,,,
Mar 2007,1291.0,1091.0,199.0,15%,17.0,1.0,20.0,195.0,24%,148.0,5.46,87%,136.0,142.0,4.0,423.0,706.0,168.0,24.0,130.0,383.0,706.0,COLPAL.NS,,,,,,
Mar 2008,1470.0,1219.0,251.0,17%,77.0,1.0,21.0,306.0,23%,237.0,8.67,75%,14.0,154.0,5.0,557.0,729.0,210.0,31.0,65.0,424.0,729.0,COLPAL.NS,,,,,,
Mar 2009,1698.0,1411.0,287.0,17%,91.0,2.0,28.0,349.0,17%,288.0,10.51,71%,14.0,202.0,5.0,579.0,799.0,249.0,8.0,35.0,507.0,799.0,COLPAL.NS,,,,,,
Mar 2010,1960.0,1525.0,434.0,22%,98.0,2.0,31.0,500.0,13%,436.0,15.96,63%,14.0,317.0,5.0,550.0,885.0,254.0,6.0,20.0,604.0,885.0,COLPAL.NS,,,,,,
Mar 2014,5231.0,4078.0,1153.0,22%,358.0,22.0,236.0,1253.0,25%,946.0,12.4,25%,195.0,6663.0,207.0,1205.0,8269.0,3369.0,240.0,484.0,4176.0,8269.0,CONCOR.NS,,,,,,
Mar 2015,6032.0,4637.0,1395.0,23%,354.0,18.0,411.0,1320.0,20%,1056.0,13.85,25%,195.0,7322.0,190.0,1289.0,8995.0,3675.0,395.0,488.0,4437.0,8995.0,CONCOR.NS,,,,,,
Mar 2016,6278.0,4936.0,1342.0,21%,347.0,0.0,355.0,1335.0,28%,967.0,12.68,27%,195.0,8112.0,10.0,1262.0,9579.0,3008.0,623.0,1101.0,4848.0,9579.0,CONCOR.NS,,,,,,
Mar 2017,5980.0,4732.0,1248.0,21%,309.0,6.0,367.0,1184.0,28%,854.0,11.26,39%,195.0,8576.0,62.0,1293.0,10126.0,3658.0,617.0,1080.0,4771.0,10126.0,CONCOR.NS,,,,,,
Mar 2018,6612.0,5120.0,1492.0,23%,343.0,6.0,420.0,1409.0,25%,1060.0,14.04,39%,244.0,9078.0,62.0,1534.0,10918.0,4019.0,692.0,1126.0,5080.0,10918.0,CONCOR.NS,,,,,,
Mar 2019,6956.0,5164.0,1792.0,26%,364.0,7.0,452.0,1697.0,28%,1222.0,16.14,42%,305.0,10023.0,771.0,1700.0,12798.0,4564.0,626.0,1169.0,6438.0,12798.0,CONCOR.NS,,,,,,
Mar 2020,6530.0,4836.0,1694.0,26%,-560.0,46.0,544.0,544.0,25%,406.0,5.3,54%,305.0,9741.0,70.0,1673.0,11789.0,5348.0,943.0,1199.0,4299.0,11789.0,CONCOR.NS,,,,,,
Mar 2021,6427.0,5380.0,1047.0,16%,223.0,43.0,553.0,674.0,26%,501.0,6.63,60%,305.0,9883.0,723.0,1500.0,12410.0,5663.0,923.0,1261.0,4564.0,12410.0,CONCOR.NS,,,,,,
Mar 2022,7653.0,5903.0,1750.0,23%,270.0,63.0,561.0,1396.0,25%,1054.0,13.87,52%,305.0,10449.0,735.0,1513.0,13002.0,5723.0,755.0,1207.0,5317.0,13002.0,CONCOR.NS,,,,,,
Mar 2023,8169.0,6301.0,1868.0,23%,333.0,65.0,573.0,1563.0,25%,1174.0,15.41,57%,305.0,10922.0,778.0,1461.0,13465.0,5621.0,837.0,1214.0,5794.0,13465.0,CONCOR.NS,,,,,,
Mar 2024,8653.0,6695.0,1959.0,23%,387.0,72.0,619.0,1655.0,25%,1248.0,16.37,56%,305.0,11522.0,939.0,1276.0,14041.0,6015.0,893.0,1110.0,6024.0,14041.0,CONCOR.NS,,,,,,
Mar 2025,8887.0,6957.0,1930.0,22%,446.0,74.0,581.0,1721.0,25%,1292.0,16.92,54%,305.0,12076.0,861.0,1234.0,14476.0,6578.0,854.0,1119.0,5924.0,14476.0,CONCOR.NS,,,,,,
Mar 2014,10053.0,9246.0,808.0,8%,46.0,240.0,96.0,517.0,29%,365.0,12.59,36%,28.0,2253.0,1843.0,3481.0,7605.0,1734.0,74.0,342.0,5455.0,7605.0,COROMANDEL.NS,,,,,,
Mar 2015,11306.0,10450.0,856.0,8%,50.0,210.0,105.0,592.0,32%,402.0,13.8,33%,29.0,2173.0,2288.0,3872.0,8362.0,1380.0,46.0,352.0,6583.0,8362.0,COROMANDEL.NS,,,,,,
Mar 2016,11481.0,10712.0,769.0,7%,87.0,221.0,106.0,529.0,32%,357.0,12.27,33%,29.0,2605.0,2677.0,3871.0,9182.0,1320.0,42.0,477.0,7343.0,9182.0,COROMANDEL.NS,,,,,,
Mar 2017,10031.0,9048.0,983.0,10%,54.0,224.0,101.0,712.0,33%,477.0,16.35,31%,29.0,2862.0,2228.0,3526.0,8645.0,1328.0,22.0,388.0,6907.0,8645.0,COROMANDEL.NS,,,,,,
Mar 2018,11083.0,9822.0,1261.0,11%,55.0,178.0,99.0,1038.0,33%,691.0,23.64,27%,29.0,2867.0,2728.0,4224.0,9848.0,1327.0,48.0,221.0,8252.0,9848.0,COROMANDEL.NS,,,,,,
Mar 2019,13225.0,11775.0,1450.0,11%,8.0,251.0,114.0,1093.0,34%,720.0,24.63,26%,29.0,3329.0,2954.0,4261.0,10574.0,1309.0,191.0,201.0,8873.0,10574.0,COROMANDEL.NS,,,,,,
Mar 2020,13137.0,11400.0,1737.0,13%,35.0,235.0,158.0,1379.0,23%,1065.0,36.36,33%,29.0,4288.0,2019.0,3812.0,10149.0,2032.0,65.0,211.0,7840.0,10149.0,COROMANDEL.NS,,,,,,
Mar 2021,14182.0,12193.0,1989.0,14%,76.0,106.0,173.0,1786.0,26%,1329.0,45.3,26%,29.0,5121.0,385.0,3360.0,8895.0,2015.0,90.0,214.0,6576.0,8895.0,COROMANDEL.NS,,,,,,
Mar 2022,19111.0,16954.0,2156.0,11%,141.0,75.0,173.0,2050.0,25%,1528.0,52.08,23%,29.0,6329.0,395.0,4532.0,11285.0,2092.0,141.0,243.0,8809.0,11285.0,COROMANDEL.NS,,,,,,
Mar 2023,29628.0,26726.0,2902.0,10%,171.0,190.0,182.0,2701.0,25%,2013.0,68.46,18%,29.0,7878.0,393.0,5934.0,14235.0,2200.0,399.0,287.0,11348.0,14235.0,COROMANDEL.NS,,,,,,
Mar 2024,22058.0,19678.0,2380.0,11%,223.0,187.0,229.0,2188.0,25%,1641.0,55.78,11%,29.0,9390.0,492.0,5933.0,15845.0,3112.0,235.0,854.0,11644.0,15845.0,COROMANDEL.NS,,,,,,
Mar 2025,24085.0,21508.0,2577.0,11%,703.0,262.0,290.0,2728.0,25%,2055.0,70.14,21%,29.0,11058.0,780.0,7049.0,18917.0,4139.0,396.0,1031.0,13351.0,18917.0,COROMANDEL.NS,,,,,,
Mar 2018,4080.0,3549.0,531.0,13%,31.0,64.0,13.0,485.0,33%,324.0,5.17,34%,125.0,664.0,649.0,987.0,2425.0,862.0,1.0,368.0,1195.0,2425.0,CROMPTON.NS,,,,,,
Mar 2019,4479.0,3895.0,584.0,13%,48.0,60.0,13.0,560.0,28%,401.0,6.4,31%,125.0,972.0,649.0,923.0,2670.0,863.0,1.0,541.0,1264.0,2670.0,CROMPTON.NS,,,,,,
Mar 2020,4520.0,3921.0,599.0,13%,59.0,41.0,27.0,591.0,16%,496.0,7.91,0%,125.0,1343.0,350.0,934.0,2752.0,909.0,20.0,541.0,1282.0,2752.0,CROMPTON.NS,,,,,,
Mar 2021,4804.0,4083.0,720.0,15%,76.0,43.0,30.0,724.0,15%,617.0,9.82,56%,126.0,1806.0,518.0,1148.0,3597.0,915.0,11.0,770.0,1902.0,3597.0,CROMPTON.NS,,,,,,
Mar 2022,5394.0,4625.0,769.0,14%,60.0,35.0,42.0,752.0,23%,578.0,9.13,27%,127.0,2326.0,1686.0,2310.0,6449.0,3273.0,13.0,624.0,2538.0,6449.0,CROMPTON.NS,,,,,,
Mar 2023,6870.0,6099.0,770.0,11%,67.0,109.0,116.0,612.0,22%,476.0,7.28,41%,127.0,2533.0,1005.0,1989.0,5654.0,3250.0,27.0,548.0,1830.0,5654.0,CROMPTON.NS,,,,,,
Mar 2024,7313.0,6599.0,714.0,10%,67.0,79.0,129.0,573.0,23%,442.0,6.84,44%,129.0,2871.0,683.0,2399.0,6082.0,3197.0,58.0,689.0,2137.0,6082.0,CROMPTON.NS,,,,,,
Mar 2025,7864.0,6975.0,888.0,11%,69.0,48.0,153.0,756.0,25%,564.0,8.64,35%,129.0,3261.0,479.0,2461.0,6330.0,3295.0,34.0,721.0,2279.0,6330.0,CROMPTON.NS,,,,,,
Mar 2009,3559.0,3051.0,508.0,14%,163.0,3.0,48.0,619.0,28%,463.0,16.7,38%,40.0,1446.0,28.0,798.0,2312.0,257.0,58.0,442.0,1555.0,2312.0,CUMMINSIND.NS,,,,,,
Mar 2015,4916.0,4101.0,815.0,17%,208.0,2.0,86.0,935.0,19%,772.0,27.85,50%,55.0,3033.0,3.0,1508.0,4599.0,1307.0,171.0,536.0,2585.0,4599.0,CUMMINSIND.NS,,,,,,
Mar 2016,4720.0,3945.0,775.0,16%,116.0,10.0,81.0,799.0,21%,721.0,26.02,54%,55.0,3553.0,3.0,1051.0,4662.0,1291.0,519.0,489.0,2364.0,4662.0,CUMMINSIND.NS,,,,,,
Mar 2017,5106.0,4302.0,805.0,16%,141.0,17.0,85.0,843.0,22%,736.0,26.56,53%,55.0,3816.0,252.0,1091.0,5214.0,1502.0,463.0,862.0,2387.0,5214.0,CUMMINSIND.NS,,,,,,
Mar 2018,5112.0,4374.0,738.0,14%,298.0,15.0,94.0,927.0,23%,712.0,25.68,58%,55.0,4063.0,257.0,1339.0,5715.0,2021.0,39.0,708.0,2947.0,5715.0,CUMMINSIND.NS,,,,,,
Mar 2019,5697.0,4828.0,869.0,15%,328.0,17.0,111.0,1069.0,31%,743.0,26.79,63%,55.0,4228.0,313.0,1465.0,6060.0,2015.0,159.0,468.0,3418.0,6060.0,CUMMINSIND.NS,,,,,,
Mar 2020,5191.0,4598.0,593.0,11%,356.0,21.0,121.0,807.0,13%,706.0,25.45,55%,55.0,4347.0,512.0,1282.0,6196.0,2270.0,80.0,1038.0,2809.0,6196.0,CUMMINSIND.NS,,,,,,
Mar 2021,4360.0,3757.0,603.0,14%,366.0,17.0,127.0,825.0,23%,635.0,22.91,65%,55.0,4596.0,40.0,1265.0,5956.0,2189.0,128.0,599.0,3041.0,5956.0,CUMMINSIND.NS,,,,,,
Mar 2022,6171.0,5288.0,883.0,14%,472.0,12.0,136.0,1207.0,23%,934.0,33.68,55%,55.0,5090.0,418.0,1549.0,7112.0,2209.0,61.0,892.0,3951.0,7112.0,CUMMINSIND.NS,,,,,,
Mar 2023,7772.0,6524.0,1248.0,16%,502.0,16.0,142.0,1591.0,23%,1228.0,44.31,56%,55.0,5703.0,376.0,1784.0,7919.0,2226.0,41.0,1457.0,4194.0,7919.0,CUMMINSIND.NS,,,,,,
Mar 2024,9000.0,7231.0,1770.0,20%,622.0,27.0,159.0,2205.0,22%,1721.0,62.07,61%,55.0,6557.0,127.0,2231.0,8971.0,2302.0,97.0,1642.0,4930.0,8971.0,CUMMINSIND.NS,,,,,,
Mar 2025,10391.0,8311.0,2080.0,20%,714.0,16.0,185.0,2593.0,23%,2000.0,72.15,71%,55.0,7506.0,30.0,2577.0,10168.0,2364.0,85.0,1482.0,6238.0,10168.0,CUMMINSIND.NS,,,,,,
Mar 2014,7058.0,5897.0,1162.0,16%,126.0,54.0,97.0,1136.0,19%,916.0,5.24,33%,174.0,2482.0,708.0,1948.0,5312.0,1767.0,22.0,1076.0,2447.0,5312.0,DABUR.NS,,,,,,
Mar 2015,7795.0,6475.0,1320.0,17%,154.0,40.0,115.0,1319.0,19%,1068.0,6.07,33%,176.0,3178.0,734.0,2019.0,6106.0,1877.0,50.0,1813.0,2365.0,6106.0,DABUR.NS,,,,,,
Mar 2016,7780.0,6261.0,1518.0,20%,217.0,48.0,133.0,1554.0,19%,1254.0,7.11,32%,176.0,3995.0,805.0,1956.0,6932.0,1667.0,45.0,2691.0,2529.0,6932.0,DABUR.NS,,,,,,
Mar 2017,7614.0,6102.0,1512.0,20%,296.0,54.0,143.0,1611.0,21%,1280.0,7.25,31%,176.0,4671.0,975.0,1910.0,7732.0,1958.0,42.0,3240.0,2492.0,7732.0,DABUR.NS,,,,,,
Mar 2018,7722.0,6104.0,1617.0,21%,291.0,53.0,162.0,1693.0,20%,1358.0,7.69,81%,176.0,5530.0,938.0,2058.0,8702.0,2028.0,42.0,3805.0,2827.0,8702.0,DABUR.NS,,,,,,
Mar 2019,8515.0,6775.0,1740.0,20%,222.0,60.0,177.0,1725.0,16%,1446.0,8.17,34%,177.0,5455.0,699.0,2106.0,8437.0,1969.0,64.0,3359.0,3045.0,8437.0,DABUR.NS,,,,,,
Mar 2020,8685.0,6892.0,1792.0,21%,205.0,50.0,220.0,1728.0,16%,1448.0,8.18,37%,177.0,6429.0,522.0,2209.0,9337.0,2253.0,147.0,2800.0,4137.0,9337.0,DABUR.NS,,,,,,
Mar 2021,9562.0,7560.0,2002.0,21%,325.0,31.0,240.0,2056.0,18%,1695.0,9.58,50%,177.0,7487.0,509.0,2661.0,10833.0,2243.0,147.0,4160.0,4283.0,10833.0,DABUR.NS,,,,,,
Mar 2022,10889.0,8637.0,2252.0,21%,308.0,39.0,253.0,2269.0,23%,1742.0,9.84,53%,177.0,8205.0,1030.0,2872.0,12284.0,2308.0,168.0,6220.0,3589.0,12284.0,DABUR.NS,,,,,,
Mar 2023,11530.0,9367.0,2162.0,19%,445.0,78.0,311.0,2219.0,23%,1701.0,9.64,54%,177.0,8796.0,1174.0,3505.0,13652.0,3579.0,175.0,6265.0,3633.0,13652.0,DABUR.NS,,,,,,
Mar 2024,12404.0,10004.0,2400.0,19%,482.0,124.0,399.0,2359.0,23%,1811.0,10.4,53%,177.0,9689.0,1365.0,3885.0,15116.0,3815.0,232.0,6933.0,4136.0,15116.0,DABUR.NS,,,,,,
Mar 2025,12563.0,10247.0,2316.0,18%,551.0,164.0,446.0,2258.0,23%,1740.0,9.97,80%,177.0,10623.0,950.0,4479.0,16230.0,3990.0,169.0,7468.0,4603.0,16230.0,DABUR.NS,,,,,,
Mar 2017,7444.0,5550.0,1894.0,25%,296.0,856.0,1226.0,108.0,69%,44.0,8800.0,0%,6654.0,2975.0,8038.0,3595.0,21262.0,15516.0,128.0,2740.0,2878.0,21262.0,DALBHARAT.NS,,,,,,
Mar 2018,8579.0,6543.0,2036.0,24%,274.0,708.0,1213.0,389.0,25%,291.0,58400.0,"1,937%",6654.0,3681.0,7266.0,3763.0,21364.0,14037.0,168.0,3505.0,3654.0,21364.0,DALBHARAT.NS,,,,,,
Mar 2019,9484.0,7542.0,1942.0,20%,235.0,542.0,1296.0,339.0,-3%,349.0,15.96,13%,39.0,10600.0,5883.0,4016.0,20538.0,13573.0,520.0,2424.0,4021.0,20538.0,DALBHARAT.NS,,,,,,
Mar 2020,9674.0,7591.0,2083.0,22%,217.0,415.0,1528.0,357.0,33%,238.0,11.61,17%,39.0,10522.0,6049.0,4268.0,20878.0,12555.0,1740.0,2816.0,3767.0,20878.0,DALBHARAT.NS,,,,,,
Mar 2021,10110.0,7340.0,2770.0,27%,145.0,303.0,1250.0,1362.0,13%,1183.0,62.58,2%,37.0,12773.0,3839.0,5237.0,21886.0,13626.0,1006.0,4033.0,3221.0,21886.0,DALBHARAT.NS,,,,,,
Mar 2022,11286.0,8860.0,2426.0,22%,171.0,202.0,1235.0,1160.0,27%,845.0,43.55,20%,37.0,16024.0,3176.0,5431.0,24668.0,14147.0,1034.0,5704.0,3783.0,24668.0,DALBHARAT.NS,,,,,,
Mar 2023,13552.0,11224.0,2328.0,17%,532.0,234.0,1305.0,1321.0,18%,1079.0,55.21,16%,37.0,15591.0,3855.0,6036.0,25519.0,14784.0,1871.0,3524.0,5340.0,25519.0,DALBHARAT.NS,,,,,,
Mar 2024,14691.0,12052.0,2639.0,18%,314.0,386.0,1498.0,1069.0,20%,853.0,44.04,21%,38.0,16359.0,4805.0,6510.0,27712.0,15732.0,2395.0,4462.0,5123.0,27712.0,DALBHARAT.NS,,,,,,
Mar 2025,13980.0,11573.0,2407.0,17%,140.0,399.0,1331.0,817.0,14%,699.0,36.41,25%,38.0,17336.0,5702.0,7095.0,30171.0,17306.0,2616.0,5119.0,5130.0,30171.0,DALBHARAT.NS,,,,,,
Mar 2026,14804.0,11721.0,3083.0,21%,195.0,480.0,1349.0,1449.0,20%,1157.0,60.73,8%,38.0,17941.0,7406.0,7927.0,33312.0,19504.0,2593.0,5878.0,5337.0,33312.0,DALBHARAT.NS,,,,,,
Mar 2015,1327.0,1187.0,140.0,11%,1.0,38.0,36.0,67.0,21%,53.0,5.06,20%,21.0,325.0,545.0,235.0,1125.0,549.0,44.0,3.0,530.0,1125.0,DEEPAKNTR.NS,,,,,,
Mar 2016,1373.0,1204.0,169.0,12%,-0.0,40.0,40.0,89.0,29%,63.0,5.39,22%,23.0,450.0,529.0,295.0,1296.0,594.0,36.0,87.0,580.0,1296.0,DEEPAKNTR.NS,,,,,,
Mar 2017,1371.0,1231.0,139.0,10%,80.0,37.0,48.0,135.0,28%,96.0,7.37,16%,26.0,689.0,724.0,350.0,1789.0,586.0,349.0,118.0,736.0,1789.0,DEEPAKNTR.NS,,,,,,
Mar 2018,1651.0,1447.0,204.0,12%,7.0,47.0,53.0,111.0,29%,79.0,5.79,22%,27.0,895.0,987.0,684.0,2592.0,588.0,955.0,32.0,1018.0,2592.0,DEEPAKNTR.NS,,,,,,
Mar 2019,2700.0,2278.0,421.0,16%,11.0,87.0,78.0,268.0,35%,174.0,12.73,16%,27.0,1044.0,1187.0,677.0,2935.0,1716.0,34.0,2.0,1183.0,2935.0,DEEPAKNTR.NS,,,,,,
Mar 2020,4230.0,3194.0,1035.0,24%,29.0,118.0,140.0,806.0,24%,611.0,44.8,10%,27.0,1545.0,1107.0,538.0,3217.0,1832.0,172.0,2.0,1210.0,3217.0,DEEPAKNTR.NS,,,,,,
Mar 2021,4360.0,3108.0,1252.0,29%,20.0,77.0,153.0,1042.0,26%,776.0,56.88,10%,27.0,2319.0,590.0,630.0,3567.0,1864.0,220.0,189.0,1293.0,3567.0,DEEPAKNTR.NS,,,,,,
Mar 2022,6802.0,5196.0,1607.0,24%,42.0,36.0,178.0,1434.0,26%,1067.0,78.2,9%,27.0,3311.0,315.0,779.0,4432.0,1963.0,122.0,439.0,1908.0,4432.0,DEEPAKNTR.NS,,,,,,
Mar 2023,7972.0,6680.0,1292.0,16%,46.0,27.0,166.0,1146.0,26%,852.0,62.47,12%,27.0,4063.0,73.0,967.0,5129.0,1942.0,301.0,379.0,2508.0,5129.0,DEEPAKNTR.NS,,,,,,
Mar 2024,7682.0,6555.0,1127.0,15%,156.0,15.0,166.0,1102.0,26%,811.0,59.45,13%,27.0,4769.0,286.0,1012.0,6095.0,2293.0,774.0,122.0,2907.0,6095.0,DEEPAKNTR.NS,,,,,,
Mar 2025,8282.0,7187.0,1095.0,13%,84.0,31.0,195.0,953.0,27%,697.0,51.12,15%,27.0,5361.0,1267.0,1053.0,7708.0,2457.0,1649.0,511.0,3091.0,7708.0,DEEPAKNTR.NS,,,,,,
Mar 2014,284.0,119.0,165.0,58%,18.0,24.0,5.0,154.0,34%,102.0,3.7,18%,46.0,190.0,368.0,214.0,818.0,34.0,0.0,32.0,751.0,818.0,DHANI.NS,,,,,,
Mar 2015,398.0,140.0,258.0,65%,10.0,61.0,13.0,194.0,22%,151.0,4.86,52%,52.0,278.0,1690.0,405.0,2425.0,664.0,11.0,69.0,1680.0,2425.0,DHANI.NS,,,,,,
Mar 2016,397.0,162.0,236.0,59%,12.0,148.0,23.0,77.0,4%,74.0,2.12,119%,59.0,273.0,2193.0,196.0,2720.0,660.0,36.0,0.0,2023.0,2720.0,DHANI.NS,,,,,,
Mar 2017,413.0,201.0,213.0,51%,96.0,139.0,24.0,146.0,30%,102.0,2.69,31%,64.0,402.0,1519.0,231.0,2215.0,86.0,8.0,163.0,1959.0,2215.0,DHANI.NS,,,,,,
Mar 2018,980.0,478.0,502.0,51%,15.0,224.0,12.0,281.0,25%,210.0,3.99,22%,93.0,1806.0,4929.0,930.0,7758.0,66.0,5.0,499.0,7188.0,7758.0,DHANI.NS,,,,,,
Mar 2019,1993.0,750.0,1243.0,62%,4.0,591.0,27.0,629.0,27%,460.0,7.59,15%,113.0,6312.0,8648.0,942.0,16015.0,118.0,9.0,638.0,15250.0,16015.0,DHANI.NS,,,,,,
Mar 2020,2915.0,1952.0,963.0,33%,4.0,824.0,116.0,27.0,-55%,42.0,0.09,"3,836%",102.0,4925.0,5410.0,1129.0,11566.0,755.0,6.0,634.0,10171.0,11566.0,DHANI.NS,,,,,,
Mar 2021,1347.0,963.0,384.0,29%,9.0,518.0,84.0,-209.0,10%,-230.0,-4.27,0%,115.0,5068.0,3739.0,1200.0,10121.0,409.0,6.0,1420.0,8286.0,10121.0,DHANI.NS,,,,,,
Mar 2022,1434.0,1986.0,-551.0,-38%,29.0,284.0,95.0,-901.0,-4%,-860.0,-14.42,0%,121.0,4942.0,2482.0,1079.0,8624.0,537.0,7.0,588.0,7492.0,8624.0,DHANI.NS,,,,,,
Mar 2023,612.0,968.0,-356.0,-58%,109.0,170.0,91.0,-508.0,-5%,-481.0,-7.95,0%,122.0,3692.0,1021.0,479.0,5314.0,319.0,4.0,510.0,4481.0,5314.0,DHANI.NS,,,,,,
Mar 2024,448.0,650.0,-202.0,-45%,24.0,94.0,63.0,-334.0,12%,-374.0,-6.22,0%,122.0,3324.0,697.0,379.0,4521.0,252.0,0.0,55.0,4214.0,4521.0,DHANI.NS,,,,,,
Mar 2025,397.0,404.0,-7.0,-2%,89.0,65.0,30.0,-14.0,384%,-68.0,-0.91,0%,122.0,2714.0,507.0,389.0,3732.0,126.0,1.0,64.0,3541.0,3732.0,DHANI.NS,,,,,,
Mar 2014,2532.0,1514.0,1018.0,40%,68.0,3.0,92.0,991.0,22%,773.0,29.13,34%,27.0,2937.0,18.0,729.0,3710.0,1222.0,144.0,502.0,1842.0,3710.0,DIVISLAB.NS,,,,,,
Mar 2015,3115.0,1942.0,1173.0,38%,38.0,3.0,136.0,1072.0,21%,852.0,32.07,31%,27.0,3469.0,27.0,883.0,4405.0,1309.0,218.0,733.0,2145.0,4405.0,DIVISLAB.NS,,,,,,
Mar 2016,3776.0,2354.0,1423.0,38%,93.0,5.0,118.0,1393.0,19%,1126.0,42.41,24%,53.0,4240.0,42.0,562.0,4898.0,1439.0,264.0,803.0,2392.0,4898.0,DIVISLAB.NS,,,,,,
Mar 2017,4064.0,2615.0,1450.0,36%,72.0,3.0,123.0,1395.0,24%,1060.0,39.95,25%,53.0,5304.0,36.0,762.0,6155.0,1559.0,444.0,1631.0,2521.0,6155.0,DIVISLAB.NS,,,,,,
Mar 2018,3891.0,2622.0,1269.0,33%,107.0,2.0,142.0,1231.0,29%,877.0,33.04,30%,53.0,5872.0,63.0,797.0,6785.0,1996.0,120.0,1889.0,2780.0,6785.0,DIVISLAB.NS,,,,,,
Mar 2019,4946.0,3072.0,1874.0,38%,154.0,5.0,169.0,1855.0,27%,1353.0,50.96,31%,53.0,6904.0,106.0,973.0,8036.0,2088.0,492.0,1946.0,3511.0,8036.0,DIVISLAB.NS,,,,,,
Mar 2020,5394.0,3568.0,1826.0,34%,186.0,7.0,186.0,1819.0,24%,1377.0,51.85,31%,53.0,7257.0,39.0,1183.0,8531.0,2782.0,920.0,971.0,3858.0,8531.0,DIVISLAB.NS,,,,,,
Mar 2021,6969.0,4102.0,2867.0,41%,57.0,2.0,256.0,2666.0,26%,1984.0,74.75,27%,53.0,9242.0,5.0,1471.0,10771.0,3704.0,711.0,0.0,6356.0,10771.0,DIVISLAB.NS,,,,,,
Mar 2022,8960.0,5075.0,3885.0,43%,112.0,2.0,312.0,3684.0,20%,2960.0,111.52,27%,53.0,11675.0,4.0,1628.0,13360.0,4325.0,470.0,72.0,8493.0,13360.0,DIVISLAB.NS,,,,,,
Mar 2023,7768.0,5397.0,2370.0,31%,344.0,2.0,343.0,2369.0,23%,1823.0,68.69,44%,53.0,12714.0,3.0,1654.0,14425.0,4723.0,212.0,77.0,9413.0,14425.0,DIVISLAB.NS,,,,,,
Mar 2024,7845.0,5635.0,2210.0,28%,335.0,4.0,378.0,2163.0,26%,1600.0,60.27,50%,53.0,13518.0,3.0,1886.0,15460.0,4739.0,778.0,82.0,9861.0,15460.0,DIVISLAB.NS,,,,,,
Mar 2025,9360.0,6387.0,2973.0,32%,348.0,3.0,402.0,2916.0,25%,2191.0,82.53,36%,53.0,14916.0,4.0,1948.0,16921.0,5442.0,1022.0,65.0,10392.0,16921.0,DIVISLAB.NS,,,,,,
Mar 2014,1094.0,1067.0,26.0,2%,8.0,11.0,5.0,18.0,19%,14.0,8.72,2%,3.0,71.0,94.0,124.0,291.0,84.0,0.0,6.0,201.0,291.0,DIXON.NS,,,,,,
Mar 2015,1201.0,1169.0,32.0,3%,2.0,10.0,7.0,17.0,24%,13.0,7.65,3%,3.0,82.0,82.0,157.0,324.0,97.0,0.0,6.0,221.0,324.0,DIXON.NS,,,,,,
Mar 2016,1389.0,1340.0,49.0,4%,23.0,13.0,8.0,51.0,16%,43.0,27.46,9%,3.0,120.0,80.0,215.0,417.0,124.0,0.0,0.0,294.0,417.0,DIXON.NS,,,,,,
Mar 2017,2457.0,2365.0,92.0,4%,1.0,16.0,11.0,66.0,28%,48.0,8.66,14%,11.0,186.0,43.0,549.0,789.0,137.0,2.0,0.0,650.0,789.0,DIXON.NS,,,,,,
Mar 2018,2842.0,2729.0,113.0,4%,4.0,13.0,15.0,88.0,31%,61.0,10.76,4%,11.0,304.0,45.0,606.0,966.0,179.0,16.0,11.0,759.0,966.0,DIXON.NS,,,,,,
