Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2015,,1002.0,,,-39.0,1112.0,37.0,519.0,40%,309.0,4.08,0%,757.0,1056.0,,1857.0,19642.0,284.0,8.0,720.0,18630.0,19642.0,ABCAPITAL.NS,2710.0,596.0,22%,15973.0,,
Mar 2016,,1156.0,,,24.0,1612.0,33.0,869.0,40%,524.0,6.58,0%,796.0,1921.0,,2574.0,30042.0,314.0,11.0,1363.0,28353.0,30042.0,ABCAPITAL.NS,3645.0,877.0,24%,24750.0,,
Mar 2017,,2478.0,,,4.0,2299.0,43.0,1066.0,35%,691.0,4.3,0%,1232.0,5378.0,,38316.0,78141.0,778.0,35.0,11760.0,65569.0,78141.0,ABCAPITAL.NS,5882.0,1105.0,19%,33215.0,,
Mar 2018,,7539.0,,,177.0,3024.0,44.0,1096.0,37%,693.0,3.15,0%,2201.0,6337.0,,40502.0,93556.0,837.0,33.0,39573.0,53113.0,93556.0,ABCAPITAL.NS,11526.0,963.0,8%,44516.0,,
Mar 2019,,9850.0,,,230.0,4109.0,58.0,1381.0,41%,811.0,3.96,0%,2201.0,7311.0,,43633.0,109470.0,892.0,34.0,43955.0,64589.0,109470.0,ABCAPITAL.NS,15168.0,1208.0,8%,56324.0,,
Mar 2020,,10934.0,,,254.0,4634.0,103.0,1280.0,32%,866.0,3.81,0%,2414.0,10162.0,,44978.0,113520.0,1181.0,74.0,48415.0,63850.0,113520.0,ABCAPITAL.NS,16696.0,1128.0,7%,55966.0,,
Mar 2021,,13966.0,,,282.0,3916.0,114.0,1546.0,28%,1106.0,4.66,0%,2415.0,11327.0,,57698.0,124485.0,1259.0,45.0,57703.0,65478.0,124485.0,ABCAPITAL.NS,19260.0,1378.0,7%,53044.0,,
Mar 2022,,16694.0,,,351.0,3480.0,122.0,2287.0,27%,1660.0,7.06,0%,2416.0,13076.0,,66897.0,140815.0,1305.0,45.0,67355.0,72110.0,140815.0,ABCAPITAL.NS,22232.0,2058.0,9%,58425.0,,
Mar 2023,,19972.0,,,311.0,4722.0,145.0,5635.0,14%,4824.0,19.83,0%,2418.0,17893.0,,75304.0,180353.0,1279.0,44.0,80383.0,98647.0,180353.0,ABCAPITAL.NS,30163.0,5469.0,18%,84738.0,,
Mar 2024,,21978.0,,,390.0,7617.0,188.0,4566.0,25%,3439.0,12.83,0%,2600.0,24217.0,,94667.0,231623.0,1652.0,94.0,99539.0,130338.0,231623.0,ABCAPITAL.NS,33958.0,4364.0,13%,110139.0,,
Mar 2025,,26357.0,,,536.0,9694.0,246.0,4871.0,30%,3410.0,12.78,0%,2607.0,27782.0,,108245.0,278643.0,1929.0,122.0,112953.0,163639.0,278643.0,ABCAPITAL.NS,40632.0,4581.0,11%,140009.0,,
Mar 2019,8118.0,7525.0,593.0,7%,63.0,225.0,282.0,149.0,-115%,321.0,3.72,-0%,773.0,655.0,1703.0,3489.0,6621.0,2555.0,22.0,4.0,4039.0,6621.0,ABFRL.NS,,,,,,
Mar 2020,8788.0,7528.0,1259.0,14%,63.0,469.0,885.0,-33.0,402%,-165.0,-1.89,-0%,774.0,294.0,5285.0,3406.0,9758.0,4940.0,48.0,14.0,4756.0,9758.0,ABFRL.NS,,,,,,
Mar 2021,5249.0,4666.0,583.0,11%,73.0,530.0,963.0,-838.0,-12%,-736.0,-7.93,-0%,915.0,1729.0,3600.0,3805.0,10049.0,5627.0,38.0,418.0,3966.0,10049.0,ABFRL.NS,,,,,,
Mar 2022,8136.0,6998.0,1138.0,14%,103.0,389.0,997.0,-145.0,-18%,-118.0,-1.16,-0%,938.0,1835.0,4100.0,5321.0,12195.0,6059.0,103.0,684.0,5348.0,12195.0,ABFRL.NS,,,,,,
Mar 2023,12418.0,10860.0,1557.0,13%,123.0,536.0,1227.0,-82.0,-28%,-59.0,-0.38,-0%,949.0,2394.0,6573.0,6873.0,16790.0,8359.0,204.0,267.0,7960.0,16790.0,ABFRL.NS,,,,,,
Mar 2024,6441.0,6033.0,408.0,6%,319.0,588.0,1017.0,-877.0,-16%,-736.0,-6.19,-0%,1015.0,3007.0,9451.0,8317.0,21790.0,11879.0,171.0,985.0,8756.0,21790.0,ABFRL.NS,,,,,,
Mar 2025,7351.0,6653.0,699.0,10%,525.0,608.0,1166.0,-550.0,-17%,-456.0,-3.08,-0%,1220.0,5592.0,5017.0,4565.0,16394.0,9417.0,181.0,1749.0,5046.0,16394.0,ABFRL.NS,,,,,,
Dec 2013,11062.0,9416.0,1646.0,15%,265.0,114.0,584.0,1214.0,11%,1095.0,58.31,52%,188.0,7625.0,35.0,4253.0,12101.0,5570.0,832.0,2126.0,3573.0,12101.0,ACC.NS,,,,,,
Dec 2014,11646.0,10116.0,1529.0,13%,241.0,83.0,568.0,1120.0,-3%,1162.0,61.88,55%,188.0,8030.0,0.0,4464.0,12682.0,5666.0,1956.0,1385.0,3675.0,12682.0,ACC.NS,,,,,,
Dec 2015,11706.0,10123.0,1583.0,14%,-90.0,65.0,663.0,766.0,25%,587.0,31.3,54%,188.0,8233.0,0.0,4379.0,12800.0,5331.0,2396.0,1314.0,3759.0,12800.0,ACC.NS,,,,,,
Dec 2016,10990.0,9532.0,1458.0,13%,115.0,79.0,609.0,885.0,26%,658.0,35.06,49%,188.0,8625.0,0.0,4581.0,13394.0,7568.0,261.0,117.0,5448.0,13394.0,ACC.NS,,,,,,
Dec 2017,13285.0,11370.0,1915.0,14%,137.0,99.0,644.0,1310.0,29%,925.0,49.23,53%,188.0,9168.0,0.0,5490.0,14846.0,7280.0,269.0,95.0,7202.0,14846.0,ACC.NS,,,,,,
Dec 2018,14802.0,12754.0,2048.0,14%,153.0,88.0,603.0,1510.0,-1%,1521.0,80.97,17%,188.0,10344.0,0.0,5524.0,16056.0,7088.0,398.0,104.0,8466.0,16056.0,ACC.NS,,,,,,
Dec 2019,15658.0,13245.0,2413.0,15%,332.0,86.0,606.0,2053.0,33%,1378.0,73.35,19%,188.0,11356.0,0.0,5592.0,17136.0,7027.0,446.0,116.0,9547.0,17136.0,ACC.NS,,,,,,
Dec 2020,13786.0,11431.0,2355.0,17%,50.0,57.0,639.0,1709.0,16%,1430.0,76.16,18%,188.0,12511.0,102.0,5399.0,18200.0,6694.0,548.0,129.0,10828.0,18200.0,ACC.NS,,,,,,
Dec 2021,16152.0,13154.0,2998.0,19%,164.0,55.0,601.0,2506.0,26%,1863.0,99.21,59%,188.0,14121.0,126.0,6604.0,21039.0,6750.0,1216.0,150.0,12923.0,21039.0,ACC.NS,,,,,,
